,class,red,green,blue,lst,vod,ndbal,msr_re,cl_re,ndvi_re,evi,ndvi,lon,lat
0,0,98.0,97.0,96.0,28460.0,357.0,1.0162252,0.12581545,0.28784645,0.12581547,-3.4745762,0.09800797,29.733659248039707,-2.0662008069777458
1,0,116.0,84.0,78.0,28460.0,357.0,0.8591095,0.22365591,0.57617724,0.22365591,47.58621,0.15390335,29.733470237845914,-2.0663931341495445
2,0,158.0,152.0,145.0,28460.0,357.0,0.8591095,0.22365591,0.57617724,0.22365591,-3.4897425,0.3039346,29.733479292203626,-2.0664714725533537
3,0,168.0,162.0,154.0,28460.0,357.0,1.1667691,0.09704642,0.2149533,0.09704641,2.154973,0.10361446,29.733057991203612,-2.065825914762858
4,0,106.0,98.0,93.0,28460.0,357.0,1.158104,0.110480666,0.24840534,0.110480696,3.2671757,0.07323751,29.732996474392813,-2.065727268236584
5,0,108.0,100.0,95.0,28460.0,357.0,1.1997567,0.09178421,0.20211983,0.09178423,1.5714287,0.052613597,29.73291520564114,-2.0658366483361976
6,0,127.0,109.0,96.0,28460.0,357.0,1.1288126,0.12267288,0.2796514,0.12267287,1.3817023,0.1265236,29.73277959318243,-2.065781656114866
7,0,104.0,93.0,84.0,28460.0,357.0,1.1724949,0.11445884,0.25850594,0.114458814,1.8380363,0.15996636,29.732760006244096,-2.0656843901008406
8,0,95.0,85.0,80.0,28460.0,357.0,0.92952746,0.21952033,0.5625267,0.21952032,-1.6978723,0.080136575,29.73353871871212,-2.065684358639642
9,0,172.0,161.0,139.0,28460.0,357.0,1.1029048,0.13008557,0.29907668,0.13008556,-1.2184633,0.08953023,29.73349267129406,-2.065604676340511
10,0,103.0,92.0,82.0,28460.0,357.0,0.8873358,0.20967197,0.5305948,0.20967196,-7.363557,0.31206864,29.733004021171034,-2.0652613027825786
11,0,86.0,76.0,77.0,28460.0,357.0,0.93961024,0.20989704,0.5313157,0.20989704,11.002203,0.1740115,29.732819679786424,-2.065374859156812
12,0,98.0,76.0,78.0,28460.0,357.0,1.0303605,0.15044568,0.35417557,0.1504457,-3.253012,0.14262494,29.732519353120093,-2.0657769772641372
13,0,115.0,104.0,93.0,28460.0,357.0,1.0788163,0.12414639,0.2834866,0.12414639,18.4,0.13670133,29.732581573017253,-2.065745756540346
14,0,134.0,123.0,115.0,28460.0,357.0,1.1724949,0.11445884,0.25850594,0.114458814,18.4,0.13670133,29.73262063252166,-2.06571531421826
15,0,156.0,154.0,153.0,28460.0,357.0,1.1757576,0.09999999,0.22222221,0.1,-2.4059062,0.15582223,29.732943059201297,-2.065582686853168
16,0,92.0,84.0,80.0,28460.0,357.0,1.1724949,0.11445884,0.25850594,0.114458814,4.419134,0.20711744,29.732744182326506,-2.0656146321117728
17,0,87.0,80.0,76.0,28460.0,357.0,1.1085204,0.16851667,0.40533984,0.16851665,1.9310157,0.12613092,29.732653749071154,-2.0655397356674907
18,0,114.0,113.0,109.0,28460.0,357.0,1.0788163,0.12414639,0.2834866,0.12414639,-2.0234807,0.18263038,29.732428777997132,-2.0656191280334557
19,0,108.0,114.0,127.0,28460.0,357.0,1.2247944,0.124507636,0.28442883,0.12450762,4.0873704,0.16704968,29.732396307692113,-2.064999012040287
20,0,86.0,79.0,71.0,28460.0,357.0,0.7823649,0.2756827,0.7612208,0.27568272,38.38362,0.30839828,29.734078727672816,-2.065387163811098
21,0,96.0,86.0,80.0,28460.0,357.0,0.87132454,0.25342348,0.6788949,0.2534235,-7.437158,0.257814,29.73411257130613,-2.065279134679713
22,0,71.0,69.0,69.0,28460.0,357.0,0.87132454,0.25342348,0.6788949,0.2534235,-10.068416,0.3183129,29.734132377696554,-2.0653818042326346
23,0,89.0,80.0,78.0,28460.0,357.0,1.0164784,0.16391405,0.39209855,0.16391405,3.7044816,0.10093494,29.733606177682404,-2.06533531337838
24,0,88.0,82.0,76.0,28460.0,357.0,1.0164784,0.16391405,0.39209855,0.16391405,-5.947776,0.11382565,29.733638741029406,-2.06524440404854
25,0,89.0,81.0,75.0,28460.0,357.0,1.0164784,0.16391405,0.39209855,0.16391405,3.7044816,0.10093494,29.73362704052915,-2.065290508665258
26,0,118.0,119.0,116.0,28460.0,357.0,1.0164784,0.16391405,0.39209855,0.16391405,10.957593,0.27469134,29.733661219770497,-2.065378670010068
27,0,90.0,90.0,89.0,28460.0,357.0,1.0382679,0.11698538,0.26496816,0.11698537,-2.3368983,0.087592706,29.733983089464118,-2.0662851626728562
28,0,122.0,122.0,119.0,28460.0,357.0,0.95990133,0.148017,0.34746468,0.148017,-1.6445312,0.085239924,29.73412628349715,-2.066313717781783
29,0,98.0,88.0,79.0,28460.0,357.0,1.0199863,0.121979535,0.27785122,0.12197951,-1.0014374,0.08711963,29.733837741019524,-2.066192832758491
30,0,96.0,86.0,84.0,28460.0,357.0,1.0199863,0.121979535,0.27785122,0.12197951,-1.6485507,0.09306607,29.733755830590177,-2.0661271393225773
31,0,107.0,106.0,105.0,28460.0,357.0,1.0809871,0.094957165,0.20984018,0.09495718,-3.9655173,0.11652377,29.733636956911347,-2.0659709858760995
32,0,84.0,82.0,79.0,28460.0,357.0,0.94490445,0.18737,0.4611447,0.18737002,20.279068,0.30575034,29.733067717427147,-2.064802281693308
33,0,93.0,86.0,81.0,28460.0,357.0,1.0041201,0.18500434,0.45400083,0.18500435,-9215.0,0.3210242,29.73295882006969,-2.064758245529438
34,0,95.0,89.0,82.0,28460.0,357.0,1.0041201,0.18500434,0.45400083,0.18500435,-18.644958,0.3169077,29.732889053836562,-2.06471306264212
35,0,101.0,96.0,89.0,28460.0,357.0,0.87848425,0.22973235,0.59650004,0.22973233,-12.849545,0.3066183,29.732813304999404,-2.0646171932890196
36,0,104.0,95.0,89.0,28460.0,357.0,0.9004082,0.2346716,0.6132573,0.2346716,-12.849545,0.3066183,29.732762796579635,-2.064548247161676
37,0,96.0,94.0,85.0,28460.0,357.0,0.87848425,0.22973235,0.59650004,0.22973233,-0.5308642,0.1272817,29.73283672555852,-2.0645200742562104
38,0,88.0,83.0,79.0,28460.0,357.0,0.87848425,0.22973235,0.59650004,0.22973233,-4.920949,0.24132584,29.732800785167083,-2.0645061139324414
39,0,143.0,117.0,98.0,28460.0,357.0,0.8899603,0.23980309,0.6308973,0.23980309,-18.552362,0.32424188,29.73277846779389,-2.065091995295824
40,0,140.0,115.0,96.0,28460.0,357.0,0.939118,0.20977457,0.53092337,0.20977457,6.6425705,0.28448573,29.73285219435009,-2.065101979960917
41,0,125.0,106.0,90.0,28460.0,357.0,0.8899603,0.23980309,0.6308973,0.23980309,33.475002,0.24394242,29.732727299126417,-2.0650482640848367
42,0,131.0,114.0,99.0,28460.0,357.0,1.0664909,0.1876848,0.46209848,0.18768482,-2.3448277,0.1609028,29.732467456086336,-2.0649400056186167
43,0,131.0,109.0,93.0,28460.0,357.0,0.8230769,0.18328507,0.4488349,0.18328506,4.9557877,0.22373435,29.73315800055676,-2.064517258279549
44,0,132.0,114.0,101.0,28460.0,357.0,0.8230769,0.18328507,0.4488349,0.18328506,2.459428,0.21899192,29.73322748281816,-2.064490392561443
45,0,135.0,137.0,133.0,28460.0,357.0,1.0360053,0.18149357,0.443475,0.18149355,9.847775,0.14537597,29.73393718198547,-2.0599072525374016
46,0,103.0,102.0,100.0,28460.0,357.0,1.0360053,0.18149357,0.443475,0.18149355,2.1647587,0.17088914,29.733976486828816,-2.059932201389539
47,0,108.0,105.0,103.0,28460.0,357.0,1.0291163,0.2128125,0.5406908,0.2128125,2.1647587,0.17088914,29.733924195088758,-2.0599665269196965
48,0,121.0,118.0,112.0,28460.0,357.0,1.0360053,0.18149357,0.443475,0.18149355,2.1647587,0.17088914,29.733911083288213,-2.059952065289573
49,0,134.0,134.0,129.0,28460.0,357.0,1.0360053,0.18149357,0.443475,0.18149355,5.3410983,0.21948718,29.73388875571577,-2.0599060194938503
50,0,145.0,145.0,140.0,28460.0,357.0,1.058656,0.17399298,0.42128694,0.17399298,-61.086956,0.18402095,29.733577738062618,-2.060179115441381
51,0,167.0,167.0,162.0,28460.0,357.0,1.0134176,0.18337484,0.44910407,0.18337484,-61.086956,0.18402095,29.733565875664393,-2.060130418219976
52,0,79.0,61.0,64.0,28460.0,357.0,1.020402,0.18191488,0.44473338,0.1819149,38.31579,0.14347655,29.733487867985783,-2.0604333961614096
53,0,176.0,175.0,170.0,28460.0,357.0,1.020402,0.18191488,0.44473338,0.1819149,-27.97778,0.23319133,29.733398953005015,-2.060480951666124
54,0,132.0,132.0,127.0,28460.0,357.0,1.105421,0.15510029,0.36714482,0.15510027,1.2707741,0.18982743,29.73347562866353,-2.0598568023979347
